fecha,CPI,coeficiente_de_ajuste
2016-01-01,236.916,1.350
2016-02-01,237.111,1.349
2016-03-01,238.132,1.343
2016-04-01,239.261,1.337
2016-05-01,240.229,1.331
2016-06-01,241.018,1.327
2016-07-01,240.628,1.329
2016-08-01,240.849,1.328
2016-09-01,241.428,1.325
2016-10-01,241.729,1.323
2016-11-01,241.353,1.325
2016-12-01,241.432,1.325
2017-01-01,242.839,1.317
2017-02-01,243.603,1.313
2017-03-01,243.801,1.312
2024-01-01,308.417,1.037
2024-02-01,310.326,1.031
2024-03-01,312.332,1.024
2024-04-01,313.548,1.020
2024-05-01,314.069,1.018
2024-06-01,314.175,1.018
2024-07-01,314.54,1.017
2024-08-01,314.796,1.016
2024-09-01,315.301,1.014
2024-10-01,315.664,1.013
2024-11-01,315.493,1.014
2024-12-01,315.605,1.013
2025-01-01,317.671,1.007
2025-02-01,319.082,1.002
2025-03-01,319.799,1
