fecha,IPCBA,IPC,Índice_Empalmado _(Dic-16=100),Factor_de_Ajuste_(Mar-25)
2016-01-01,282.91,0,73.83021478,113.1422389
2016-02-01,294.14,0,76.76087581,108.8225703
2016-03-01,303.9,0,79.30791513,105.3276
2016-04-01,323.79,0,84.49855163,98.8575
2016-05-01,340.09,0,88.75231608,94.1194
2016-06-01,351.05,0,91.61251598,91.1809
2016-07-01,358.62,0,93.58803727,89.2562
2016-08-01,355.9,0,92.87820663,89.9384
2016-09-01,360.68,0,94.12562958,88.7465
2016-10-01,371.14,0,96.85534591,86.2453
2016-11-01,378.49,0,98.77345442,84.5705
2016-12-01,383.19,100,100,83.5332
2017-01-01,0,101.5859,101.5859,82.2291
2017-02-01,0,103.6859,103.6859,80.5637
2017-03-01,0,106.1476,106.1476,78.6953
2024-01-01,0,4261.5000,4261.5000,1.9602
2024-02-01,0,4825.8000,4825.8000,1.7310
2024-03-01,0,5357.1000,5357.1000,1.5593
2024-04-01,0,5830.2000,5830.2000,1.4328
2024-05-01,0,6073.7000,6073.7000,1.3753
2024-06-01,0,6351.7000,6351.7000,1.3151
2024-07-01,0,6607.7000,6607.7000,1.2642
2024-08-01,0,6883.4000,6883.4000,1.2135
2024-09-01,0,7122.2000,7122.2000,1.1729
2024-10-01,0,7314.0000,7314.0000,1.1421
2024-11-01,0,7491.4000,7491.4000,1.1151
2024-12-01,0,7694.0000,7694.0000,1.0857
2025-01-01,0,7864.1000,7864.1000,1.0622
2025-02-01,0,8053.0000,8053.0000,1.0373
2025-03-01,0,8353.3158,8353.3158,1.0000
