Fecha,Sociedad,Clase,Moneda,Monto_emision,Regimen,TNA_inicial,Plazo_meses,MONTO_ARS_EMISION_MILLONES,SECTOR
2016-01-11,Grupo ST S.A.,Clase I,ARS,75000000,General,0.2981,60.9,75.0000,FINANCIERO
2016-01-15,Banco Santander Río S.A.,Clase X,ARS,231000000,General,0.2933,18.2,231.0000,FINANCIERO
2016-01-15,Banco Santander Río S.A.,Clase XI,ARS,360000000,General,0.3037,36.5,360.0000,FINANCIERO
2016-01-18,Tarjeta Naranja S.A.,Clase XXXII,ARS,260810808,General,0.3000,21.3,260.8108,FINANCIERO
2016-01-20,Gpat Compañía Financiera S.A.,Serie XXI,ARS,250000000,General,0.2988,18.2,250.0000,FINANCIERO
2016-01-21,Tarshop S.A.,Clase XXVI,ARS,156971808,General,0.3350,18.2,156.9718,FINANCIERO
2016-01-26,Banco Itaú Argentina S.A.,Clase 16,ARS,179000000,General,0.3038,18.2,179.0000,FINANCIERO
2016-01-26,Banco Itaú Argentina S.A.,Clase 17,ARS,265500000,General,0.3112,36.5,265.5000,FINANCIERO
2016-01-29,Compañía Financiera Argentina S.A.,Clase XVI,ARS,300000000,General,0.3081,18.2,300.0000,FINANCIERO
2016-02-01,Petrolera Pampa S.A.,Clase 7,ARS,309847000,General,0.3169,18.2,309.8470,ENERGIA
2016-02-03,Banco Hipotecario S.A.,Clase XXXIV,ARS,264030000,General,0.2994,18.2,264.0300,FINANCIERO
2016-02-03,Banco Hipotecario S.A.,Clase XXXV,ARS,235970000,General,0.3093,36.5,235.9700,FINANCIERO
2016-02-05,Genneia S.A.,Clase XIX,ARS,462162500,General,0.3206,12.2,462.1625,ENERGIA
2016-02-05,Agrofina S.A.,Clase II,ARS,144967000,General,0.3306,18.2,144.9670,INDUSTRIA
2016-02-15,BACS Banco de Crédito y Securitización S.A.,Clase VII,ARS,142602000,General,0.3050,21.3,142.6020,FINANCIERO
2016-02-17,Tarjetas del Mar S.A.,Clase I,ARS,150000000,General,0.2994,18.2,150.0000,FINANCIERO
2016-02-17,Los Grobo Agropecuaria S.A.,Clase IV Serie I,ARS,150000000,General,0.3192,18.2,150.0000,AGROPECUARIO
2016-02-19,TGLT S.A.,Clase X,ARS,96828323,General,0.3249,18.2,96.8283,CONSTRUCCION_E_INFRAESTRUCTURA
2016-02-19,Banco CMF S.A.,Clase 7,ARS,150000000,General,0.3040,18.2,150.0000,FINANCIERO
2016-02-24,Toyota Compañía Financiera de Argentina S.A.,Clase 18,ARS,120000000,General,0.2983,24.4,120.0000,FINANCIERO
2016-02-26,Banco de Servicios Financieros S.A.,Clase 16,ARS,300000000,General,0.3090,18.3,300.0000,FINANCIERO
2016-03-02,YPF S.A.,Clase XLV,ARS,150000000,General,0.3175,18.3,150.0000,ENERGIA
2016-03-02,YPF S.A.,Clase XLVI,ARS,1350000000,General,0.3375,60.9,1350.0000,ENERGIA
2016-03-04,Generación Frías S.A.,Clase II,ARS,130000000,General,0.3500,24.3,130.0000,ENERGIA
2016-03-09,Savant Pharm S.A.,Serie IV Clase I,ARS,60000000,General,0.3768,36.5,60.0000,INDUSTRIA
2016-03-10,Banco Comafi S.A.,Clases 15,ARS,168451000,General,0.3538,24.3,168.4510,FINANCIERO
2016-03-14,Tarjetas Cuyanas S.A.,CLASE XXIII,ARS,242000000,General,0.3550,18.3,242.0000,FINANCIERO
2016-03-17,IRSA Propiedades comerciales S.A. (ex Alto Palermo SA),Clase 2,USD,360000000,General,0.0875,85.2,5265.8000,CONSTRUCCION_E_INFRAESTRUCTURA
2016-03-18,YPF S.A.,Clase XLVII,USD,1000000000,General,0.0850,60.9,14821.7000,ENERGIA
2016-03-23,John Deere Credit Compañía Financiera S.A.,Clase VI,ARS,121071011,General,0.3414,24.3,121.0710,FINANCIERO
2016-04-06,Celulosa Argentina S.A.,Clase 6,ARS,148166000,General,0.3718,18.3,148.1660,INDUSTRIA
2016-04-06,Gpat Compañía Financiera S.A.,Serie XXII,ARS,155000000,General,0.3538,18.3,155.0000,FINANCIERO
2016-04-11,Tarjeta Naranja S.A.,Clase XXXIII Serie I,ARS,133091500,General,0.3700,18.3,133.0915,FINANCIERO
2016-04-11,Tarjeta Naranja S.A.,Clase XXXIII Serie II,ARS,366908500,General,0.3700,36.5,366.9085,FINANCIERO
2016-04-14,YPF S.A.,Clase XLVIII,Dolar_Linked,45816181,General,0.0825,48.7,658.3000,ENERGIA
2016-04-14,YPF S.A.,Clase XLIX,ARS,534921691,General,0.3744,48.7,534.9217,ENERGIA
2016-05-02,Tarshop S.A.,Clase XXVII,ARS,147288000,General,0.3700,18.3,147.2880,FINANCIERO
2016-05-02,Tarjetas Cuyanas S.A.,Clase XXIV - Serie I,ARS,65691111,General,0.3700,18.3,65.6911,FINANCIERO
2016-05-02,Tarjetas Cuyanas S.A.,Clase XXIV - Serie II,ARS,234308889,General,0.3700,36.5,234.3089,FINANCIERO
2016-05-03,Ebucar S.A.,Serie III,ARS,3000000,PyME,0.3069,24.3,3.0000,COMERCIO
2016-05-04,Medanito S.A.,Clase 7,ARS,180000000,General,0.3751,18.3,180.0000,ENERGIA
2016-05-04,Rombo Compañía Financiera S.A.,Serie 31,ARS,250000000,General,0.3700,24.3,250.0000,FINANCIERO
2016-05-06,PSA Finance Argentina Compañía Financiera S.A.,Serie 20,ARS,150000000,General,0.3700,18.3,150.0000,FINANCIERO
