fecha,Saldo_Cta_Cte_USD_residente_miles_ARS,Saldo_Caja_Ahorro_USD_residente_miles_ARS,Saldo_Plazo_Fijo_USD_residente_miles_ARS,Saldo_otros_depositos_USD_residente_miles_ARS,Saldo_Cta_Cte_USD_NOresidente_ miles_ARS,Saldo_Caja_Ahorro_USD_NOresidente_miles_ARS,Saldo_Plazo_Fijo_USD_NOresidente_ miles_ARS,Saldo_otros_depositos_USD_NOresidente_miles_ARS
2016-01-01,154.00,73608929.00,77375213.00,4477085.00,205.00,66903.00,3244.00,1563.00
2016-02-01,172.00,84701347.00,88197069.00,5903390.00,113.00,93938.00,3614.00,1751.00
2016-03-01,161.00,86388470.00,81008016.00,5585571.00,719.00,86516.00,7177.00,1775.00
2016-04-01,158.00,85011344.00,77305906.00,5783031.00,612.00,85120.00,4281.00,1602.00
2016-05-01,155.00,86106190.00,73176517.00,5411192.00,682.00,94822.00,4209.00,1575.00
2016-06-01,165.00,95344784.00,78072134.00,5354834.00,509.00,83297.00,4263.00,1676.00
2016-07-01,166.00,101653831.00,78224464.00,5618823.00,412.00,89646.00,4308.00,1690.00
2016-08-01,165.00,105854636.00,78064729.00,5403993.00,7115.00,108178.00,4260.00,1673.00
2016-09-01,169.00,116254443.00,79833351.00,5994837.00,5806.00,133976.00,4982.00,1715.00
2016-10-01,317.00,166416718.00,78839179.00,6758232.00,3345.00,112853.00,2069.00,3448.00
2016-11-01,175.00,242732903.00,79604188.00,7173140.00,4644.00,106866.00,1071.00,4191.00
2016-12-01,175.00,263025485.00,87294995.00,6138230.00,3042.00,141621.00,1136.00,4192.00
2017-01-01,176.00,266514530.00,85413641.00,7444204.00,2925.00,170570.00,662.00,3577.00
2017-02-01,4.00,266186651.00,82103150.00,7054652.00,5536.00,150484.00,581.00,3475.00
2017-03-01,4.00,271802880.00,80289177.00,7406737.00,3797.00,169125.00,604.00,3458.00
2024-01-01,67779.00,10666606564.00,2183947230.00,341848866.00,467812.00,39128215.00,63019.00,43333.00
2024-02-01,79.00,11324298504.00,2173926886.00,336777783.00,393001.00,38948232.00,48469.00,44166.00
2024-03-01,80.00,11770724916.00,2312046341.00,419558664.00,293145.00,37056600.00,12901.00,44955.00
2024-04-01,9605.00,12330780471.00,2389645864.00,444125850.00,642280.00,37797496.00,13194.00,45962.00
2024-05-01,9807.00,12958610354.00,2421411616.00,441558534.00,485840.00,37247687.00,34510.00,46925.00
2024-06-01,9988.00,13214005480.00,2682964890.00,388303274.00,521448.00,37132462.00,23706.00,61507.00
2024-07-01,10218.00,14064230204.00,2899710764.00,365407735.00,361952.00,46631399.00,38290.00,48878.00
2024-08-01,10438.00,14914386487.00,3157440505.00,380500363.00,318268.00,38910417.00,39115.00,49925.00
2024-09-01,10636.00,26932327555.00,3263751708.00,420266285.00,696231.00,48024379.00,25244.00,50872.00
2024-10-01,10854.00,30110362361.00,3664303219.00,549882003.00,496015.00,48538524.00,0.00,51911.00
2024-11-01,11098.00,28621623152.00,3808624564.00,524584913.00,376502.00,44318837.00,26306.00,53011.00
2024-12-01,11330.00,28077125211.00,3925620111.00,479784588.00,691313.00,43875992.00,58970.00,53993.00
2025-01-01,14076.00,28090904885.00,4322841333.00,468322733.00,628138.00,79805879.00,61788.00,55092.00
2025-02-01,14335.00,27560342843.00,4343173568.00,487218399.00,476282.00,46190741.00,31931.00,55660.00
2025-03-01,260298.00,26687383602.00,4366154415.00,469526081.00,493467.00,45241071.00,61299.00,54005.00
